City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
5,Butaritari,KI,81.79,clear sky,3.07,172.79,Isles Sunset Lodge
6,Carpinteria,US,84.0,broken clouds,34.4,-119.52,Holiday Inn Express & Suites Carpinteria
10,Gat,IL,75.0,overcast clouds,31.61,34.76,OlusHome
22,Rikitea,PF,74.55,light rain,-23.12,-134.97,Pension Maro'i
23,Cayenne,GF,82.4,light rain,4.93,-52.33,Hôtel Le Dronmi
39,Isiolo,KE,71.33,scattered clouds,0.35,37.58,Gaddisa Hotel
42,Kavaratti,IN,81.88,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
43,Kilakarai,IN,80.51,moderate rain,9.23,78.78,Musthafa Maraikayar Garden
47,Gasa,PS,75.2,few clouds,31.5,34.47,رابطة الفنانين الفلسطينيين
48,Russell,US,73.4,clear sky,32.35,-85.2,Macs
49,Alofi,NU,75.2,light rain,-19.06,-169.92,Taloa Heights
51,Atuona,PF,77.99,light rain,-9.8,-139.03,Villa Enata
55,Arraial Do Cabo,BR,73.4,broken clouds,-22.97,-42.03,Pousada Porto Praia
58,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
61,Isangel,VU,77.4,clear sky,-19.55,169.27,Volcano Sea View Tree House
64,Acarau,BR,82.85,clear sky,-2.89,-40.12,castelo pizzaria
73,Yuli,NG,80.64,clear sky,9.7,10.27,
77,Dwarka,IN,81.19,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
79,San Quintin,MX,77.5,clear sky,30.48,-115.95,Old Mill Hotel
82,Alexandria,EG,72.32,overcast clouds,31.22,29.96,Royal Crown Hotel
83,Hilo,US,81.0,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
85,Los Llanos De Aridane,ES,78.8,clear sky,28.66,-17.92,Valle Aridane
86,Hithadhoo,MV,83.23,light rain,-0.6,73.08,Scoop Guest House
93,Dakar,SN,82.4,clear sky,14.69,-17.44,Novotel Dakar
95,Mogadishu,SO,79.84,light rain,2.04,45.34,Hotel Juba
100,Faanui,PF,79.9,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
101,Yulara,AU,77.0,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
106,Banda Aceh,ID,79.23,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
108,Sal Rei,CV,78.8,scattered clouds,16.18,-22.92,Marine Club Beach Resort
113,Kapaa,US,80.01,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
120,Bengkulu,ID,75.18,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
122,Kavieng,PG,82.81,few clouds,-2.57,150.8,Nusa Island Retreat
123,Puerto Ayora,EC,78.8,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
129,Palmeira Das Missoes,BR,72.45,clear sky,-27.9,-53.31,Hotel De Carli
130,Adrar,MR,82.47,overcast clouds,20.5,-10.07,
133,Diffa,NE,81.59,overcast clouds,13.32,12.61,ProDAF/Diffa
135,Arlit,NE,78.94,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
141,Lompoc,US,82.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
147,Alugan,PH,76.75,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
159,Victoria,HK,75.0,overcast clouds,22.29,114.16,Mini Hotel Central
161,Port Keats,AU,81.73,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
163,Matamoros,MX,82.27,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
170,Catalao,BR,75.09,light rain,-18.17,-47.95,Mara Turismo Hotel
176,Salinas,US,82.0,clear sky,36.68,-121.66,Good Nite Inn Salinas Monterey
177,Hobyo,SO,80.76,light rain,5.35,48.53,Osmani Hotel
179,Half Moon Bay,US,73.99,few clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
180,San Patricio,US,82.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
183,Nisia Floresta,BR,84.2,scattered clouds,-6.09,-35.21,Rancho Crepusculo
184,Avarua,CK,77.0,scattered clouds,-21.21,-159.78,Paradise Inn
186,Fare,PF,80.76,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
193,Paysandu,UY,71.78,clear sky,-32.32,-58.08,Gran Hotel Paysandú
197,Bua Yai,TH,72.73,few clouds,15.59,102.43,Rabiang Mai Resort
