City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cherskiy,RU,68.75,161.3,4.33,94,100,5.26,overcast clouds
1,Changping,CN,40.22,116.22,53.01,33,0,4.47,clear sky
2,Vaini,TO,-21.2,-175.2,75.2,88,75,8.05,broken clouds
3,Sibiti,CG,-3.68,13.35,69.73,99,100,3.33,overcast clouds
4,Dikson,RU,73.51,80.55,19.63,98,96,9.06,overcast clouds
5,Butaritari,KI,3.07,172.79,81.79,78,1,10.6,clear sky
6,Carpinteria,US,34.4,-119.52,84.0,59,69,3.6,broken clouds
7,Hobart,AU,-42.88,147.33,53.6,87,75,4.7,broken clouds
8,Qaanaaq,GL,77.48,-69.36,1.08,74,0,7.56,clear sky
9,Ushuaia,AR,-54.8,-68.3,57.2,58,75,11.41,light rain
10,Gat,IL,31.61,34.76,75.0,68,100,3.69,overcast clouds
11,Bredasdorp,ZA,-34.53,20.04,64.4,88,21,8.05,few clouds
12,Moose Factory,CA,51.26,-80.61,32.0,94,90,21.92,overcast clouds
13,Mountain Home,US,43.13,-115.69,53.6,32,1,10.29,clear sky
14,Burgeo,CA,47.62,-57.62,40.46,69,1,15.57,clear sky
15,Pevek,RU,69.7,170.31,15.64,90,100,14.29,overcast clouds
16,Chokurdakh,RU,70.63,147.92,0.61,94,100,10.78,light snow
17,Bluff,NZ,-46.6,168.33,48.99,87,100,8.99,light rain
18,Jamestown,US,42.1,-79.24,41.0,93,90,23.04,mist
19,Nanortalik,GL,60.14,-45.24,30.07,86,0,29.04,clear sky
20,Niagara Falls,CA,43.1,-79.07,48.2,70,75,19.46,broken clouds
21,Tuktoyaktuk,CA,69.45,-133.04,8.6,84,90,8.05,light snow
22,Rikitea,PF,-23.12,-134.97,74.55,86,77,22.3,light rain
23,Cayenne,GF,4.93,-52.33,82.4,78,69,8.05,light rain
24,Punta Arenas,CL,-53.15,-70.92,51.8,76,75,17.22,broken clouds
25,Ola,RU,59.58,151.28,29.62,93,100,8.19,overcast clouds
26,Torbay,CA,47.67,-52.73,41.0,60,75,19.46,broken clouds
27,Cape Town,ZA,-33.93,18.42,66.2,72,0,11.41,clear sky
28,Mackay,AU,-21.15,149.2,69.8,94,40,4.7,scattered clouds
29,Tasiilaq,GL,65.61,-37.64,28.4,79,92,3.36,overcast clouds
30,Abha,SA,18.22,42.51,64.4,82,0,3.67,clear sky
31,Kangaatsiaq,GL,68.31,-53.46,23.22,96,100,1.03,overcast clouds
32,Ponta Delgada,PT,37.73,-25.67,69.8,94,75,13.87,broken clouds
33,Shelburne,CA,44.08,-80.2,39.99,87,94,20.22,moderate rain
34,Aklavik,CA,68.22,-135.01,15.8,72,75,4.7,broken clouds
35,Warwick,US,41.7,-71.42,51.8,76,90,6.93,overcast clouds
36,Busselton,AU,-33.65,115.33,52.0,95,81,5.79,broken clouds
37,Albany,US,42.6,-73.97,48.99,84,100,1.99,moderate rain
38,Nikolskoye,RU,59.7,30.79,32.0,95,90,6.71,fog
39,Isiolo,KE,0.35,37.58,71.33,63,48,13.09,scattered clouds
40,Mataura,NZ,-46.19,168.86,48.99,87,66,8.99,broken clouds
41,Bilibino,RU,68.05,166.44,2.82,83,82,0.76,broken clouds
42,Kavaratti,IN,10.57,72.64,81.88,71,0,4.29,clear sky
43,Kilakarai,IN,9.23,78.78,80.51,80,40,8.1,moderate rain
44,Birjand,IR,32.87,59.22,41.0,11,0,6.93,clear sky
45,Yar-Sale,RU,66.83,70.83,30.09,98,100,18.43,overcast clouds
46,Nantucket,US,41.28,-70.1,59.0,93,20,8.05,few clouds
47,Gasa,PS,31.5,34.47,75.2,69,20,5.82,few clouds
48,Russell,US,32.35,-85.2,73.4,53,1,11.41,clear sky
49,Alofi,NU,-19.06,-169.92,75.2,94,34,10.29,light rain
50,Port Augusta,AU,-32.5,137.77,63.0,82,6,4.7,clear sky
51,Atuona,PF,-9.8,-139.03,77.99,78,10,15.39,light rain
52,Sosnovo-Ozerskoye,RU,52.52,111.54,13.46,90,39,7.09,scattered clouds
53,Aras,ES,42.56,-2.36,62.01,82,0,1.14,clear sky
54,Tazovskiy,RU,67.47,78.7,22.06,98,99,16.22,overcast clouds
55,Arraial Do Cabo,BR,-22.97,-42.03,73.4,69,75,12.75,broken clouds
56,Geraldton,AU,-28.77,114.6,57.2,93,75,10.29,light intensity shower rain
57,Truckee,US,39.33,-120.18,66.99,22,5,0.36,clear sky
