City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chokurdakh,RU,2020-10-31 16:48:03,70.63,147.92,-1.08,94,97,7.4
1,Kalmunai,LK,2020-10-31 16:48:03,7.42,81.82,80.71,80,74,2.57
2,Komsomolskiy,UZ,2020-10-31 16:48:03,40.43,71.72,42.8,45,0,6.93
3,Alofi,NU,2020-10-31 16:48:03,-19.06,-169.92,73.4,94,85,11.41
4,Talnakh,RU,2020-10-31 16:48:03,69.49,88.4,19.4,85,90,38.03
5,Mataura,NZ,2020-10-31 16:48:03,-46.19,168.86,46.99,86,4,5.99
6,Huarmey,PE,2020-10-31 16:48:03,-10.07,-78.15,68.76,68,99,9.57
7,Butaritari,KI,2020-10-31 16:48:04,3.07,172.79,81.23,75,64,16.93
8,Avarua,CK,2020-10-31 16:48:04,-21.21,-159.78,71.6,88,100,11.41
9,Constitucion,CL,2020-10-31 16:48:04,-35.33,-72.42,66.9,57,0,4.63
10,Anda,CN,2020-10-31 16:48:04,46.4,125.32,40.12,66,29,18.54
11,Bredasdorp,ZA,2020-10-31 16:48:04,-34.53,20.04,64.4,55,0,12.75
12,Ushuaia,AR,2020-10-31 16:46:58,-54.8,-68.3,54.45,68,75,5.55
13,Geraldton,AU,2020-10-31 16:48:04,-28.77,114.6,68.0,77,75,12.75
14,Kahului,US,2020-10-31 16:44:39,20.89,-156.47,75.2,73,20,5.48
15,Provideniya,RU,2020-10-31 16:48:05,64.38,-173.3,21.24,87,94,6.35
16,Namibe,AO,2020-10-31 16:48:05,-15.2,12.15,73.24,78,17,9.73
17,Kem,RU,2020-10-31 16:48:05,64.96,34.58,30.83,94,14,6.73
18,Fuerte Olimpo,PY,2020-10-31 16:48:05,-21.04,-57.87,89.73,37,22,7.4
19,Xuddur,SO,2020-10-31 16:48:05,4.12,43.89,76.03,77,36,9.4
20,Campbell River,CA,2020-10-31 16:46:03,50.02,-125.24,43.0,100,75,3.36
21,Poronaysk,RU,2020-10-31 16:48:05,49.22,143.12,36.09,83,100,1.32
22,Rikitea,PF,2020-10-31 16:48:05,-23.12,-134.97,74.95,71,7,7.65
23,Barrow,US,2020-10-31 16:48:05,71.29,-156.79,24.8,62,90,9.17
24,Kaitangata,NZ,2020-10-31 16:48:06,-46.28,169.85,46.0,80,2,4.0
25,Kapaa,US,2020-10-31 16:48:06,22.08,-159.32,69.8,88,1,6.93
26,Puerto Ayora,EC,2020-10-31 16:48:06,-0.74,-90.35,75.2,73,75,17.22
27,Atuona,PF,2020-10-31 16:48:06,-9.8,-139.03,78.17,76,17,17.83
28,Mill Valley,US,2020-10-31 16:48:06,37.91,-122.55,60.01,68,0,1.01
29,Santa Cruz,BO,2020-10-31 16:45:05,-17.8,-63.17,86.0,27,75,21.92
30,Norman Wells,CA,2020-10-31 16:48:06,65.28,-126.83,-4.0,83,20,4.7
31,Jamestown,US,2020-10-31 16:47:23,42.1,-79.24,39.99,69,90,10.29
32,Villamontes,BO,2020-10-31 16:48:07,-21.25,-63.5,85.15,22,38,10.71
33,Shubarshi,KZ,2020-10-31 16:48:07,48.59,57.19,48.34,44,90,12.46
34,Ostrovnoy,RU,2020-10-31 16:48:07,68.05,39.51,26.8,95,12,12.44
35,Cape Town,ZA,2020-10-31 16:45:21,-33.93,18.42,68.0,52,0,20.8
36,Santa Isabel Do Rio Negro,BR,2020-10-31 16:48:07,-0.41,-65.02,97.21,41,96,4.25
37,Vaini,TO,2020-10-31 16:48:07,-21.2,-175.2,71.6,88,75,10.29
38,Tuktoyaktuk,CA,2020-10-31 16:48:07,69.45,-133.04,-4.0,83,40,4.7
39,Davila,PH,2020-10-31 16:48:07,18.47,120.58,76.3,73,92,22.44
40,Bull Savanna,JM,2020-10-31 16:48:07,17.89,-77.59,84.4,64,78,3.87
41,East London,ZA,2020-10-31 16:43:31,-33.02,27.91,66.2,63,20,9.17
42,Qaanaaq,GL,2020-10-31 16:48:08,77.48,-69.36,10.83,86,95,7.18
43,Tasiilaq,GL,2020-10-31 16:48:08,65.61,-37.64,33.8,96,90,1.12
44,Cherskiy,RU,2020-10-31 16:48:08,68.75,161.3,7.68,88,94,3.58
45,Ibra,OM,2020-10-31 16:48:08,22.69,58.53,63.41,32,3,0.81
46,Cap-Aux-Meules,CA,2020-10-31 16:48:08,47.38,-61.86,39.2,55,75,12.75
47,Busselton,AU,2020-10-31 16:48:08,-33.65,115.33,63.0,67,100,11.92
48,Hobart,AU,2020-10-31 16:43:49,-42.88,147.33,55.4,58,90,8.05
49,Richards Bay,ZA,2020-10-31 16:48:09,-28.78,32.04,66.7,83,100,8.28
50,Hami,CN,2020-10-31 16:48:09,42.8,93.45,36.52,67,0,3.15
51,Hirado,JP,2020-10-31 16:48:09,33.36,129.55,63.86,64,20,11.32
52,Salalah,OM,2020-10-31 16:48:09,17.02,54.09,80.6,28,0,5.82
53,Albany,US,2020-10-31 16:47:06,42.6,-73.97,39.0,78,0,1.99
